tld,registration,renewal
rodeo,45.99,45.99
exposed,27.99,27.99
singles,42.99,42.99
sexy,2999.99,2999.99
observer,16.99,16.99
rsvp,18.99,18.99
free,49.99,49.99
supplies,31.99,31.99
country,2499.99,2499.99
dentist,80.99,80.99
fast,37.99,37.99
phd,32.99,32.99
plumbing,92.99,92.99
cleaning,96.99,96.99
corsica,54.99,54.99
furniture,132.99,132.99
esq,32.99,32.99
alsace,59.99,59.99
hosting,499.99,499.99
flights,74.99,74.99
cruises,72.99,72.99
cooking,41.99,41.99
moda,52.99,52.99
futbol,21.99,21.99
joburg,24.99,24.99
limo,69.99,69.99
new,599.99,599.99
webcam,34.99,34.99
ong,33.19,33.19
giving,34.99,34.99
hospital,72.99,72.99
tienda,76.99,76.99
diamonds,69.99,69.99
tennis,82.99,82.99
soy,29.99,29.99
spa,34.99,34.99
hockey,76.99,76.99
lease,71.99,71.99
fishing,42.99,42.99
sarl,19.99,19.99
vodka,42.99,42.99
florist,39.99,39.99
surgery,69.99,69.99
accountants,149.99,149.99
durban,29.99,29.99
bargains,37.99,37.99
organic,109.99,109.99
maison,72.99,72.99
talk,49.99,49.99
spot,32.99,32.99
gripe,19.99,19.99
creditcard,199.99,199.99
accountant,32.99,32.99
theater,82.99,82.99
condos,74.99,74.99
hiphop,34.99,34.99
republican,34.99,34.99
tires,99.99,99.99
hot,64.99,64.99
tickets,560.99,560.99
flowers,174.99,174.99
cricket,54.99,54.99
degree,66.99,66.99
voto,79.99,79.99
diet,174.99,174.99
democrat,41.99,41.99
physio,99.99,99.99
security,2499.99,2499.99
moi,29.99,29.99
blackfriday,174.99,174.99
prof,32.99,32.99
memorial,66.99,66.99
latino,24.99,24.99
viajes,58.99,58.99
rio,34.99,34.99
storage,799.99,799.99
shiksha,66.99,66.99
guitars,174.99,174.99
ltda,49.99,49.99
auto,2499.99,2499.99
juegos,499.99,499.99
watches,399.99,399.99
car,2499.99,2499.99
cars,2499.99,2499.99
dealer,2499.99,2499.99
theatre,699.99,699.99
protection,2499.99,2499.99
case,2499.99,2499.99
kids,29.99,29.99
