tld,registration,renewal
plumbing,8.24,58.19
xn--6frz82g,13.9,13.9
cleaning,60.25,60.25
furniture,21.11,82.9
esq,21.11,21.11
kred,12.87,12.87
hosting,309.47,309.47
flights,31.41,46.86
cruises,8.24,44.8
cooking,26.26,26.26
moda,10.81,33.47
futbol,5.66,13.9
limo,10.81,43.77
new,412.46,412.46
rehab,8.24,29.35
webcam,10.79,10.79
ong,15.96,15.96
giving,5.99,22.66
hospital,45.83,45.83
tienda,5.66,47.89
diamonds,43.77,43.77
tennis,52.01,52.01
desi,13.05,13.05
soy,19.05,19.05
spa,21.61,21.61
hockey,8.24,47.89
lease,8.24,44.8
fishing,26.26,26.26
sarl,5.66,5.66
xn--q9jyb4c,7.43,7.43
vodka,26.26,26.26
florist,8.24,26.26
surgery,43.77,43.77
accountants,23.17,93.2
bargains,11.84,24.2
organic,10.81,68.49
maison,13.39,45.83
talk,31.41,31.41
spot,21.11,21.11
gripe,5.66,5.66
creditcard,5.66,129.25
bible,40.68,41.88
accountant,21.09,21.09
theater,10.81,52.01
condos,46.86,46.86
xn--czrs0t,37.59,37.59
deal,31.41,31.41
realty,93.2,288.88
hiphop,21.11,21.11
navy,33.47,33.47
republican,5.66,26.26
forex,10.81,82.9
tires,8.24,72.61
hot,41.71,41.71
tickets,360.97,360.97
osaka,26.68,26.88
flowers,103.5,103.5
cricket,21.09,21.09
degree,8.24,41.71
voto,10.81,56.13
diet,103.5,103.5
kyoto,41.52,41.52
democrat,5.66,26.26
security,2060.25,2060.25
compare,26.26,26.26
moi,23.19,23.19
blackfriday,103.5,103.5
prof,21.11,21.11
reise,77.75,77.75
memorial,41.71,41.71
select,26.26,26.26
airforce,82.9,82.9
basketball,41.88,42.88
viajes,36.56,36.56
storage,515.45,515.45
shiksha,10.81,41.71
guitars,103.5,103.5
ltda,29.35,30.16
abogado,26.26,26.26
auto,2060.25,2060.25
rugby,41.98,42.98
rich,78.99,160.71
juegos,309.47,309.47
watches,52.01,257.98
car,2060.25,2060.25
cars,2060.25,2060.25
xn--unup4y,69.52,69.52
xn--fjq720a,69.52,69.52
hiv,184.89,184.89
dealer,257.98,2060.25
theatre,515.45,515.45
lotto,1493.82,1493.82
protection,2060.25,2060.25
vana,2070.19,2070.19
kids,5.66,19.05
